sex,gpa,physics,math,art,analytic,construct,electric,mechanic,specialty
0,95,75,78,0,1,1,1,0,A
0,96,76,80,0,1,1,1,0,A
0,91,71,80,1,1,1,0,0,C
1,91,71,86,1,1,1,0,0,C
0,84,64,73,0,1,0,0,0,D
0,88,68,80,0,1,0,0,0,D
0,86,66,76,0,0,1,0,1,E
0,92,72,72,0,1,0,1,0,F
0,93,73,74,0,1,0,1,0,F
1,92.9,73,81,1,1,1,0,0,C
1,95.9,76,93,1,1,1,0,0,C
1,82.9,63,70,0,0,1,0,1,E
0,90.9,71,88,0,1,0,1,0,F
0,90.8,71,72,0,1,1,1,0,A
0,90.8,71,87,0,0,1,1,1,B
0,84.8,65,87,1,1,1,0,0,C
0,86.8,67,76,0,1,0,0,0,D
1,87.8,68,75,0,1,0,1,0,F
0,91.8,72,81,0,1,0,1,0,F
0,95.8,76,84,1,1,1,0,0,G
0,97.8,78,81,1,1,1,0,0,G
1,93.7,74,87,0,1,1,1,0,A
1,94.7,75,85,0,1,1,1,0,A
0,94.7,75,98,0,1,1,1,0,A
1,79.7,60,60,0,1,0,0,0,D
1,82.7,63,83,0,1,0,0,0,D
1,93.7,74,78,0,1,0,0,0,D
1,84.7,65,72,0,1,0,1,0,F
0,87.6,68,76,0,1,1,1,0,A
0,89.6,70,83,0,1,1,1,0,A
0,92.6,73,82,0,0,1,1,1,B
0,89.6,70,84,0,1,0,0,0,C
0,92.6,73,78,1,1,1,0,0,C
0,80.6,61,65,0,1,0,0,0,D
1,91.6,72,80,0,0,1,0,1,E
1,93.5,74,80,0,1,1,1,0,A
1,93.5,74,78,0,0,1,1,1,B
1,94.5,75,88,1,1,1,0,0,C
1,87.5,68,75,0,1,0,0,0,D
1,94.5,75,81,0,0,1,0,1,E
1,89.5,70,70,0,1,0,1,0,F
0,97.5,78,88,0,1,0,1,0,F
0,89.5,70,82,1,1,1,0,0,G
0,94.5,75,90,1,1,1,0,0,G
1,89.4,70,88,0,1,1,1,0,A
0,96.4,77,82,0,1,1,1,0,A
1,79.4,60,64,0,1,0,0,0,D
1,90.4,71,82,0,0,1,0,1,E
1,89.4,70,74,0,1,0,1,0,F
1,90.4,71,86,1,1,1,0,0,G
0,93.4,74,80,1,1,1,0,0,G
0,94.4,75,85,1,1,1,0,0,G
1,94.3,75,77,0,1,1,1,0,A
0,96.3,77,81,0,1,1,1,0,A
0,89.3,70,80,0,0,1,1,1,B
1,92.3,73,75,0,0,1,1,1,B
0,92.3,73,76,0,0,1,1,1,B
0,94.3,75,91,0,0,1,1,1,B
0,86.3,67,78,0,1,0,0,0,D
0,93.2,74,82,0,1,1,1,0,A
1,94.2,75,80,0,1,1,1,0,A
1,91.2,72,76,0,0,1,1,1,B
0,90.2,71,76,0,1,0,0,0,C
1,94.2,75,82,1,1,1,0,0,C
1,91.2,72,84,0,1,0,0,0,D
1,93.2,74,87,0,1,0,0,0,D
1,91.2,72,80,0,0,1,0,1,E
1,96.2,77,82,1,1,1,0,0,G
1,95.1,76,80,0,1,1,1,0,A
0,91.1,72,80,1,1,1,0,0,C
0,93.1,74,85,0,1,0,0,0,D
0,95.1,76,90,0,1,0,0,0,D
1,87.1,68,80,0,0,1,0,1,E
1,91.1,72,76,0,0,1,0,1,E
1,89,70,77,0,1,1,1,0,A
